,sample,sample_2,uncorrected_dist,rep,b_s1,b_s2,b_mean,n_s1,n_s2,N_mean,subsample_mean_dist,no_strapped_dist,corrected_dist,corrected_dist_cons
0,ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425989_2,0.0,83,404342,404342,404342.0,1697154,1697154,1697154.0,0.0,0.0,0.0,0.0
1,ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425989_2,0.1223025699706643,83,396380,404342,400361.0,1660060,1697154,1678607.0,0.12390634071553089,0.118984129257,0.118200891428,0.123123102887
2,ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425989_2,0.0694148946099518,83,405650,404342,404996.0,1703254,1697154,1700204.0,0.06939292646314921,0.067789050963,0.067799772777,0.069403648277
3,ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425989_2,0.111904719435187,83,400078,404342,402210.0,1677279,1697154,1687216.5,0.11186444040388852,0.114476015766,0.114495681947,0.111884106585
4,ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425989_2,0.1348802586075471,83,403014,404342,403678.0,1690960,1697154,1694057.0,0.13248493176443318,0.128712217004,0.129881496442,0.133654211203
5,ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425989_2,0.1189786896124475,83,384397,404342,394369.5,1604392,1697154,1650773.0,0.11573476338607752,0.121283804914,0.122869351294,0.117320309766
6,ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425989_2,0.1975762535537361,83,374097,404342,389219.5,1556700,1697154,1626927.0,0.19456518389617272,0.192596720312,0.19406948738,0.196037950964
7,ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425989_2,0.1357351854271179,83,404199,404342,404270.5,1696485,1697154,1696819.5,0.13860326996507435,0.133702769131,0.132302826784,0.137203327618
8,ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425989_2,0.1303700887702263,83,409809,404342,407075.5,1722668,1697154,1709911.0,0.13183835282668416,0.130146568544,0.129430169667,0.131121953949
9,ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425989_2,0.194620434034834,83,355279,404342,379810.5,1469941,1697154,1583547.5,0.18348224697656948,0.190307824467,0.195762669827,0.188937092336
10,ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425989_2,0.15715804944768,83,393098,404342,398720.0,1644797,1697154,1670975.5,0.15837144268567616,0.157288718929,0.156695997622,0.157778721378
11,ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425989_2,0.1350727032303927,83,414002,404342,409172.0,1742262,1697154,1719708.0,0.13483536986030153,0.131612213326,0.131727980226,0.13495113676
12,ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425989_2,0.1873796306041335,83,416113,404342,410227.5,1752136,1697154,1724645.0,0.18191119345306606,0.182640807085,0.185307823898,0.184578210266
13,ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425989_2,0.1345405087424803,83,409901,404342,407121.5,1723097,1697154,1710125.5,0.13559966375430077,0.13523019767,0.134713415462,0.135082881546
14,ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425990_2,0.1223025699706643,83,404342,396380,400361.0,1697154,1660060,1678607.0,0.12390634071553089,0.118984129257,0.118200891428,0.123123102887
15,ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425990_2,0.0,83,396380,396380,396380.0,1660060,1660060,1660060.0,0.0,0.0,0.0,0.0
16,ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425990_2,0.1368654477154783,83,405650,396380,401015.0,1703254,1660060,1681657.0,0.13761498627314786,0.133005693497,0.132639672855,0.137248965632
17,ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425990_2,0.1096970285597273,83,400078,396380,398229.0,1677279,1660060,1668669.5,0.10858653493076596,0.1054948846,0.10603738161,0.109129031941
18,ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425990_2,0.0669810862660608,83,403014,396380,399697.0,1690960,1660060,1675510.0,0.06668268628058718,0.065635005616,0.065780749631,0.066828430296
19,ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425990_2,0.1050559650787111,83,384397,396380,390388.5,1604392,1660060,1632226.0,0.10136835560930978,0.098414501222,0.100217947807,0.103171802194
20,ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425990_2,0.1990531944039122,83,374097,396380,385238.5,1556700,1660060,1608380.0,0.19323448174598595,0.192280041563,0.195127762451,0.196082202634
21,ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425990_2,0.1655000761170671,83,404199,396380,400289.5,1696485,1660060,1678272.5,0.1591650730594383,0.154649440255,0.157743314725,0.16225894753
22,ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425990_2,0.065664478659811,83,409809,396380,403094.5,1722668,1660060,1691364.0,0.06591218445336056,0.065077655377,0.064956728995,0.065791258071
23,ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425990_2,0.1817059994758302,83,355279,396380,375829.5,1469941,1660060,1565000.5,0.1867902696006226,0.185571198641,0.183079664692,0.184298735652
24,ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425990_2,0.1554114766689333,83,393098,396380,394739.0,1644797,1660060,1652428.5,0.15613566960601793,0.15230408231,0.151950127381,0.155781714677
25,ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425990_2,0.070393250974599,83,414002,396380,405191.0,1742262,1660060,1701161.0,0.07031166306119367,0.068204822404,0.068244640731,0.070351481389
26,ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425990_2,0.1744253810094918,83,416113,396380,406246.5,1752136,1660060,1706098.0,0.17780002808493234,0.175758650423,0.174111925002,0.176153302664
27,ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425990_2,0.0638535262382343,83,409901,396380,403140.5,1723097,1660060,1691578.5,0.06359993677507512,0.06317140694,0.063295204858,0.063723734693
28,ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425991_2,0.0694148946099518,83,404342,405650,404996.0,1697154,1703254,1700204.0,0.06939292646314921,0.067789050963,0.067799772777,0.069403648277
29,ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425991_2,0.1368654477154783,83,396380,405650,401015.0,1660060,1703254,1681657.0,0.13761498627314786,0.133005693497,0.132639672855,0.137248965632
30,ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425991_2,0.0,83,405650,405650,405650.0,1703254,1703254,1703254.0,0.0,0.0,0.0,0.0
31,ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425991_2,0.115596474445714,83,400078,405650,402864.0,1677279,1703254,1690266.5,0.11441445978258664,0.112691664396,0.113268729088,0.114991524474
32,ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425991_2,0.1374493848127673,83,403014,405650,404332.0,1690960,1703254,1697107.0,0.136542396471692,0.13067861078,0.131121317535,0.136985103227
33,ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425991_2,0.1231089574368852,83,384397,405650,395023.5,1604392,1703254,1653823.0,0.12286570229881605,0.12791918675,0.128038072274,0.122984587822
34,ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425991_2,0.1959444178913549,83,374097,405650,389873.5,1556700,1703254,1629977.0,0.1981015415660081,0.201743664488,0.200688679778,0.197046556856
35,ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425991_2,0.1619961066622668,83,404199,405650,404924.5,1696485,1703254,1699869.5,0.15842758737212845,0.153192580184,0.154934255855,0.160169263043
36,ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425991_2,0.1371599148467349,83,409809,405650,407729.5,1722668,1703254,1712961.0,0.1367703475910198,0.130754398906,0.130944460679,0.136960409364
37,ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425991_2,0.194131510387976,83,355279,405650,380464.5,1469941,1703254,1586597.5,0.19056332565923906,0.194345333581,0.196092647826,0.192310639904
38,ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425991_2,0.1601792929015924,83,393098,405650,399374.0,1644797,1703254,1674025.5,0.16052493356334518,0.160088733868,0.159919910062,0.160356109757
39,ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425991_2,0.1379188191017035,83,414002,405650,409826.0,1742262,1703254,1722758.0,0.13863481114784906,0.13401921146,0.133669994109,0.138285593797
40,ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425991_2,0.1816438960200068,83,416113,405650,410881.5,1752136,1703254,1727695.0,0.18644762983393684,0.186412114996,0.184069485055,0.184104999893
41,ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425991_2,0.1378715909156916,83,409901,405650,407775.5,1723097,1703254,1713175.5,0.13987182373597667,0.136197293912,0.135221427914,0.138895957738
42,ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425992_2,0.111904719435187,83,404342,400078,402210.0,1697154,1677279,1687216.5,0.11186444040388852,0.114476015766,0.114495681947,0.111884106585
43,ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425992_2,0.1096970285597273,83,396380,400078,398229.0,1660060,1677279,1668669.5,0.10858653493076596,0.1054948846,0.10603738161,0.109129031941
44,ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425992_2,0.115596474445714,83,405650,400078,402864.0,1703254,1677279,1690266.5,0.11441445978258664,0.112691664396,0.113268729088,0.114991524474
45,ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425992_2,0.0,83,400078,400078,400078.0,1677279,1677279,1677279.0,0.0,0.0,0.0,0.0
46,ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425992_2,0.1075615375037593,83,403014,400078,401546.0,1690960,1677279,1684119.5,0.10667318008918325,0.104295621511,0.104729400919,0.107106959497
47,ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425992_2,0.0971804493323769,83,384397,400078,392237.5,1604392,1677279,1640835.5,0.0986952016601906,0.098442492524,0.0977018926,0.097954601737
48,ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425992_2,0.1925670540179716,83,374097,400078,387087.5,1556700,1677279,1616989.5,0.19346920809473214,0.185979478225,0.185538078875,0.193027808744
49,ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425992_2,0.160806095628762,83,404199,400078,402138.5,1696485,1677279,1686882.0,0.157704821917785,0.151898078166,0.153412286292,0.159219030044
50,ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425992_2,0.1072762250483077,83,409809,400078,404943.5,1722668,1677279,1699973.5,0.10629499533407076,0.104606618788,0.105085520988,0.106773897534
51,ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425992_2,0.190784410721038,83,355279,400078,377678.5,1469941,1677279,1573610.0,0.18754834500051762,0.187617400011,0.189202767365,0.189133712354
52,ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425992_2,0.1581976628884638,83,393098,400078,396588.0,1644797,1677279,1661038.0,0.15693786018055314,0.156525074004,0.157140651221,0.157553437398
53,ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425992_2,0.1082561144331632,83,414002,400078,407040.0,1742262,1677279,1709770.5,0.10998565851421865,0.106157146178,0.105313265058,0.109141777395
54,ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425992_2,0.1732881439076023,83,416113,400078,408095.5,1752136,1677279,1714707.5,0.18240367655022208,0.180429116561,0.175982108365,0.177956668354
55,ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425992_2,0.1110121517635802,83,409901,400078,404989.5,1723097,1677279,1700188.0,0.1109952529065247,0.108032253048,0.108040500708,0.111003500566
56,ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425993_2,0.1348802586075471,83,404342,403014,403678.0,1697154,1690960,1694057.0,0.13248493176443318,0.128712217004,0.129881496442,0.133654211203
57,ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425993_2,0.0669810862660608,83,396380,403014,399697.0,1660060,1690960,1675510.0,0.06668268628058718,0.065635005616,0.065780749631,0.066828430296
58,ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425993_2,0.1374493848127673,83,405650,403014,404332.0,1703254,1690960,1697107.0,0.136542396471692,0.13067861078,0.131121317535,0.136985103227
59,ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425993_2,0.1075615375037593,83,400078,403014,401546.0,1677279,1690960,1684119.5,0.10667318008918325,0.104295621511,0.104729400919,0.107106959497
