branch,support,coverage,notes,correction,cluster,sp
b1,59,1,dificilinus_consobrinus,mean_main,1,1
b2,54,1,hemmoidalis,mean_main,1,0
b3,78,1,culumanus_cibicus_pirosoma,mean_main,2,1
b4,85,1,breviceps,mean_main,2,0
b1,96,2,dificilinus_consobrinus,mean_main,1,1
b2,90,2,hemmoidalis,mean_main,1,0
b3,100,2,culumanus_cibicus_pirosoma,mean_main,2,1
b4,55,2,breviceps,mean_main,2,0
b1,99,4,,mean_main,1,1
b2,98,4,,mean_main,1,0
b3,100,4,,mean_main,2,1
b4,56,4,incorrect,mean_main,2,0
b1,97,8,,mean_main,1,1
b2,100,8,,mean_main,1,0
b3,100,8,,mean_main,2,1
b4,87,8,,mean_main,2,0
b1,97,0,asm,mean_main,1,1
b2,93,0,asm,mean_main,1,0
b3,100,0,asm,mean_main,2,1
b4,94,0,asm,mean_main,2,0
