sample,variable,value_x,cond,rep_num,value_y,est_true
ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425989_2,0.0,main,-1.0,0.0,
ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425989_2,0.1189841292570541,main,-1.0,0.1189841292570541,1.0
ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425989_2,0.0677890509633087,main,-1.0,0.0677890509633087,1.0
ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425989_2,0.1144760157660606,main,-1.0,0.1144760157660606,1.0
ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425989_2,0.1287122170038409,main,-1.0,0.1287122170038409,1.0
ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425989_2,0.1212838049139521,main,-1.0,0.1212838049139521,1.0
ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425989_2,0.1925967203123766,main,-1.0,0.1925967203123766,1.0
ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425989_2,0.1337027691308386,main,-1.0,0.1337027691308386,1.0
ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425989_2,0.1301465685440054,main,-1.0,0.1301465685440054,1.0
ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425989_2,0.1903078244667239,main,-1.0,0.1903078244667239,1.0
ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425989_2,0.1572887189288156,main,-1.0,0.1572887189288156,1.0
ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425989_2,0.1316122133262828,main,-1.0,0.1316122133262828,1.0
ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425989_2,0.1826408070850522,main,-1.0,0.1826408070850522,1.0
ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425989_2,0.135230197670116,main,-1.0,0.135230197670116,1.0
ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425990_2,0.1189841292570541,main,-1.0,0.1189841292570541,1.0
ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425990_2,0.0,main,-1.0,0.0,
ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425990_2,0.1330056934969576,main,-1.0,0.1330056934969576,1.0
ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425990_2,0.1054948845998315,main,-1.0,0.1054948845998315,1.0
ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425990_2,0.0656350056164093,main,-1.0,0.0656350056164093,1.0
ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425990_2,0.0984145012220924,main,-1.0,0.0984145012220924,1.0
ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425990_2,0.1922800415627872,main,-1.0,0.1922800415627872,1.0
ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425990_2,0.1546494402554966,main,-1.0,0.1546494402554966,1.0
ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425990_2,0.065077655376607,main,-1.0,0.065077655376607,1.0
ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425990_2,0.1855711986409904,main,-1.0,0.1855711986409904,1.0
ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425990_2,0.1523040823095186,main,-1.0,0.1523040823095186,1.0
ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425990_2,0.0682048224036681,main,-1.0,0.0682048224036681,1.0
ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425990_2,0.1757586504227075,main,-1.0,0.1757586504227075,1.0
ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425990_2,0.063171406939788,main,-1.0,0.063171406939788,1.0
ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425991_2,0.0677890509633087,main,-1.0,0.0677890509633087,1.0
ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425991_2,0.1330056934969576,main,-1.0,0.1330056934969576,1.0
ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425991_2,0.0,main,-1.0,0.0,
ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425991_2,0.1126916643963014,main,-1.0,0.1126916643963014,1.0
ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425991_2,0.1306786107798112,main,-1.0,0.1306786107798112,1.0
ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425991_2,0.1279191867502359,main,-1.0,0.1279191867502359,1.0
ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425991_2,0.2017436644876099,main,-1.0,0.2017436644876099,1.0
ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425991_2,0.1531925801837193,main,-1.0,0.1531925801837193,1.0
ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425991_2,0.130754398905514,main,-1.0,0.130754398905514,1.0
ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425991_2,0.194345333580696,main,-1.0,0.194345333580696,1.0
ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425991_2,0.1600887338677255,main,-1.0,0.1600887338677255,1.0
ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425991_2,0.1340192114603572,main,-1.0,0.1340192114603572,1.0
ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425991_2,0.1864121149962923,main,-1.0,0.1864121149962923,1.0
ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425991_2,0.1361972939122103,main,-1.0,0.1361972939122103,1.0
ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425992_2,0.1144760157660606,main,-1.0,0.1144760157660606,1.0
ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425992_2,0.1054948845998315,main,-1.0,0.1054948845998315,1.0
ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425992_2,0.1126916643963014,main,-1.0,0.1126916643963014,1.0
ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425992_2,0.0,main,-1.0,0.0,
ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425992_2,0.1042956215107319,main,-1.0,0.1042956215107319,1.0
ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425992_2,0.0984424925237672,main,-1.0,0.0984424925237672,1.0
