branch,reps,support,correction,cluster,sp,notes,notes2
b1,1000,47,main,1,1,dificilinus_consobrinus,child
b2,1000,67,main,1,0,hemmoidalis,parent
b3,1000,73,main,2,1,culumanus_cibicus_pirosoma,child
b4,1000,80,main,2,0,breviceps,parent
b1,500,45,main,1,1,dificilinus_consobrinus,child
b2,500,65,main,1,0,hemmoidalis,parent
b3,500,71,main,2,1,culumanus_cibicus_pirosoma,child
b4,500,81,main,2,0,breviceps,parent
b1,200,46,main,1,1,dificilinus_consobrinus,child
b2,200,66,main,1,0,hemmoidalis,parent
b3,200,70,main,2,1,culumanus_cibicus_pirosoma,child
b4,200,80,main,2,0,breviceps,parent
b1,100,38,main,1,1,dificilinus_consobrinus,child
b2,100,60,main,1,0,hemmoidalis,parent
b3,100,76,main,2,1,culumanus_cibicus_pirosoma,child
b4,100,89,main,2,0,breviceps,parent
b1,70,38,main,1,1,dificilinus_consobrinus,child
b2,70,60,main,1,0,hemmoidalis,parent
b3,70,76,main,2,1,culumanus_cibicus_pirosoma,child
b4,70,89,main,2,0,breviceps,parent
b1,50,44,main,1,1,dificilinus_consobrinus,child
b2,50,60,main,1,0,hemmoidalis,parent
b3,50,74,main,2,1,culumanus_cibicus_pirosoma,child
b4,50,92,main,2,0,breviceps,parent
b1,20,50,main,1,1,dificilinus_consobrinus,child
b2,20,55,main,1,0,hemmoidalis,parent
b3,20,60,main,2,1,culumanus_cibicus_pirosoma,child
b4,20,90,main,2,0,breviceps,parent
b1,10,60,main,1,1,dificilinus_consobrinus,child
b2,10,60,main,1,0,hemmoidalis,parent
b3,10,50,main,2,1,culumanus_cibicus_pirosoma,child
b4,10,80,main,2,0,breviceps,parent
b1,5,60,main,1,1,dificilinus_consobrinus,child
b2,5,60,main,1,0,hemmoidalis,parent
b3,5,60,main,2,1,culumanus_cibicus_pirosoma,child
b4,5,80,main,2,0,breviceps,parent
