branch,reps,support,correction,cluster,sp,notes,notes2
b1,1000,65,main,1,1,dificilinus_consobrinus,child
b2,1000,55,main,1,0,hemmoidalis,parent
b3,1000,79,main,2,1,culumanus_cibicus_pirosoma,child
b4,1000,86,main,2,0,breviceps,parent
b1,500,61,main,1,1,dificilinus_consobrinus,child
b2,500,51,main,1,0,hemmoidalis,parent
b3,500,78,main,2,1,culumanus_cibicus_pirosoma,child
b4,500,87,main,2,0,breviceps,parent
b1,200,63,main,1,1,dificilinus_consobrinus,child
b2,200,49,main,1,0,hemmoidalis,parent
b3,200,78,main,2,1,culumanus_cibicus_pirosoma,child
b4,200,88,main,2,0,breviceps,parent
b1,100,58,main,1,1,dificilinus_consobrinus,child
b2,100,42,main,1,0,hemmoidalis,parent
b3,100,80,main,2,1,culumanus_cibicus_pirosoma,child
b4,100,94,main,2,0,breviceps,parent
b1,70,57,main,1,1,dificilinus_consobrinus,child
b2,70,39,main,1,0,hemmoidalis,parent
b3,70,80,main,2,1,culumanus_cibicus_pirosoma,child
b4,70,91,main,2,0,breviceps,parent
b1,50,60,main,1,1,dificilinus_consobrinus,child
b2,50,36,main,1,0,hemmoidalis,parent
b3,50,80,main,2,1,culumanus_cibicus_pirosoma,child
b4,50,92,main,2,0,breviceps,parent
b1,20,60,main,1,1,dificilinus_consobrinus,child
b2,20,25,main,1,0,hemmoidalis,parent
b3,20,70,main,2,1,culumanus_cibicus_pirosoma,child
b4,20,90,main,2,0,breviceps,parent
b1,10,70,main,1,1,dificilinus_consobrinus,child
b2,10,40,main,1,0,hemmoidalis,parent
b3,10,70,main,2,1,culumanus_cibicus_pirosoma,child
b4,10,80,main,2,0,breviceps,parent
b1,5,60,main,1,1,dificilinus_consobrinus,child
b2,5,40,main,1,0,hemmoidalis,parent
b3,5,100,main,2,1,culumanus_cibicus_pirosoma,child
b4,5,80,main,2,0,breviceps,parent
